playlist_id,playlist_title,creation_date,user_id
1,Vegan Mac & Cheese,2024-11-24,14
2,Set of Silicone Baking Molds,2025-04-21,89
3,Gingerbread House Kit,2024-12-17,9
4,Blackberry Compote,2024-12-21,87
5,Smart Thermostat,2024-11-22,92
6,Cranberry Lime Sparkling Water,2024-09-24,7
7,Classic Black Trousers,2025-03-12,30
8,Organic Quinoa Salad,2024-07-28,96
9,Greek Yogurt,2024-05-19,77
10,Kids' Outdoor Explorer Kit,2025-02-18,11
11,Plant Growing Kit,2025-01-04,47
12,Watercolor Paint Set,2024-08-16,50
13,Mechanical Pencil Set,2025-01-10,70
14,Quality Chef Apron,2024-12-10,61
15,Spicy Roasted Nuts,2024-09-29,5
16,Tuna Fish (canned),2024-08-24,28
17,Cheesy Cauliflower Bake,2024-11-04,99
18,Beach Cover-Up,2024-06-30,20
19,Ginger Turmeric Tea,2024-09-18,86
20,Almond Butter Crunch Bar,2025-03-27,12
21,Artisan Pickles,2024-10-23,57
22,Indoor Plants,2024-10-12,59
23,Smartphone Stand,2025-03-16,65
24,Organic Coconut Oil,2024-05-12,40
25,Personal Blender with Cups,2024-07-26,32
26,Wall Art Stickers,2024-08-21,81
27,Classic Pesto Sauce,2024-10-19,22
28,Folding Pocket Knife,2024-10-31,27
29,Smart LED Desk Lamp,2024-06-19,69
30,Wall-Mounted Wine Rack,2025-04-20,34
31,Vintage Button-Down Shirt,2025-03-18,80
32,Whole Wheat Bread,2024-05-04,38
33,Coconut Curry Lentil Soup,2025-03-20,85
34,Herb Seasoned Couscous,2025-03-31,52
35,Rice Cakes,2024-09-29,97
36,Under Desk Footrest,2024-10-31,45
37,Portable Massage Table,2024-06-19,6
38,Raspberry Limeade,2025-01-03,39
39,A-Line Skirt,2025-03-23,24
40,Microfiber Cleaning Cloth Set,2024-09-30,16
41,Garden Vegetable Soup,2025-01-12,1
42,Heat-Resistant Silicone Mat,2024-06-20,13
43,Personalized Pet ID Tags,2025-01-19,91
44,Sous Vide Cooker,2025-01-31,31
45,Paprika,2024-09-09,19
46,French Onion Dip,2024-08-15,21
47,Savory Breakfast Sausage,2024-08-19,58
48,Creamy Garlic Dressing,2024-09-28,62
49,Kids Tablet,2024-10-30,4
50,Pet Safety Harness,2024-08-10,48
51,Baked Falafel Balls,2024-06-12,53
52,Basil-infused Olive Oil,2024-08-06,75
53,Surimi Crab Sticks,2024-11-24,56
54,Italian Marinara Sauce,2024-12-28,88
55,Whisk Set,2024-11-29,76
56,Pepper Jack Cheese Slices,2025-03-06,26
57,Nordic Berry Smoothie,2025-01-25,36
58,Spinach Artichoke Dip,2024-12-03,37
59,Jennifer's Amazing Lip Balm Kit,2024-06-26,66
60,Recipe Book Stand,2025-02-12,83
61,Peach Fruit Cups,2025-04-16,54
62,Bamboo Memory Foam Pillow,2025-03-24,8
63,Portable Phone Mug Holder,2024-07-08,25
64,Organic Black Beans,2024-04-28,100
65,Tuna Fish (canned),2025-04-13,60
66,Cotton Quilted Throw Blanket,2025-01-21,74
67,Lemonade Mix,2024-12-10,68
68,Smartphone UV Sanitizer,2024-06-29,15
69,Flavored Instant Oatmeal,2024-06-07,29
70,Chicken Parmesan Dinner Kit,2024-08-16,41
71,Smartphone Holder for Car,2024-05-02,79
72,Smartphone Projector Kit,2025-04-03,51
73,Chewy Granola Bars,2024-06-14,93
74,Kids' Building Blocks,2025-02-17,78
75,Sriracha Sauce,2024-08-15,44
76,Creamy Tomato Basil Soup,2024-05-09,90
77,Pet Water Bottle,2024-10-23,63
78,Coconut Water,2024-05-26,95
79,Elderberry Syrup Kit,2024-06-10,17
80,Arcade Game Machine,2024-05-06,82
81,Fruit and Nut Bars,2025-02-14,42
82,Sliced Olives,2024-12-31,67
83,Travel Makeup Organizer,2025-02-16,94
84,Outdoor Camping Hammock,2024-12-11,84
85,Scented Candle Set,2024-10-01,73
86,Chocolate Covered Pretzels,2024-11-28,18
87,Spicy Tuna Rolls,2024-08-06,3
88,Black Bean Soup,2024-10-27,33
89,Leather Wallet,2024-11-13,71
90,Golf Polo Shirt,2024-08-24,46
91,Customizable Wall Calendar,2024-07-16,23
92,Pet Grooming Glove,2024-04-26,35
93,Folding Pocket Knife,2024-06-27,72
94,Mini Air Purifier,2024-05-14,43
95,Vegan Chocolate Cake Mix,2024-06-23,10
96,Graphic Sweatshirt,2024-07-03,98
97,Caramel Apple Chips,2024-06-23,49
98,Chocolate Syrup,2024-05-08,55
99,Sun-Dried Tomatoes,2024-07-01,64
100,Pumpkin Ice Cream,2024-05-05,2
